"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",FALSE,"Iterations",NA,NA,2500,4,25192,2.7265,"?"
"Breadth First Search + GS",TRUE,"Solution",5,6,84,5,25,0.0555,"c(8, 9),GEN"
"Depth First Search",FALSE,"Iterations",NA,NA,2500,2499,13762,2.777,"?"
"Depth First Search + GS",TRUE,"Solution",13,15.6,16,13,22,0.0072,"c(8, 9),GEN"
"Depth Limited Search - Limit=20",FALSE,"Iterations",NA,NA,2500,20,140,0.1727,"?"
"Depth Limited Search - Limit=20 + GS",TRUE,"Solution",13,15.6,16,13,22,0.0099,"c(8, 9),GEN"
"Iterative Deepening Search - Final Limit=3",FALSE,"Iterations",NA,NA,2500,3,41,0.1509,"?"
"Iterative Deepening Search - Final Limit=8 + GS",TRUE,"Solution",7,8.4,355,7,19,0.1464,"c(8, 9),GEN"
"Uniform Cost Search",FALSE,"Iterations",NA,NA,2500,6,28852,55.3598,"?"
"Uniform Cost Search + GS",TRUE,"Solution",5,6,84,5,28,0.06,"c(8, 9),GEN"
"Greedy Best-First Search",TRUE,"Solution",5,6,6,5,52,0.0033,"c(8, 9),GEN"
"Greedy Best-First Search + GS",TRUE,"Solution",5,6,6,5,25,0.0044,"c(8, 9),GEN"
"A* Search",TRUE,"Solution",5,6,20,5,186,0.0141,"c(8, 9),GEN"
"A* Search + GS",TRUE,"Solution",5,6,11,5,28,0.0083,"c(8, 9),GEN"
