"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",TRUE,"Solution",3,5.4,21,3,41,0.0903,"c(11, 12),GEN"
"Breadth First Search + GS",TRUE,"Solution",3,5.4,13,3,11,0.0049,"c(11, 12),GEN"
"Depth First Search",FALSE,"Iterations",NA,NA,2500,2499,5000,0.8251,"?"
"Depth First Search + GS",TRUE,"Solution",19,22.8,56,37,7,0.0157,"c(11, 12),GEN"
"Depth Limited Search - Limit=20",TRUE,"Solution",20,25.8,760,20,40,0.0613,"c(11, 12),GEN"
"Depth Limited Search - Limit=20 + GS",TRUE,"Solution",19,22.8,31,20,5,0.0062,"c(11, 12),GEN"
"Iterative Deepening Search - Final Limit=4",TRUE,"Solution",3,5.4,33,3,7,0.0065,"c(11, 12),GEN"
"Iterative Deepening Search - Final Limit=4 + GS",TRUE,"Solution",3,5.4,23,3,4,0.0146,"c(11, 12),GEN"
"Uniform Cost Search",TRUE,"Solution",3,5.4,31,4,59,0.0082,"c(11, 12),GEN"
"Uniform Cost Search + GS",TRUE,"Solution",3,5.4,15,4,11,0.0043,"c(11, 12),GEN"
"Greedy Best-First Search",TRUE,"Solution",3,5.4,4,3,6,0.0012,"c(11, 12),GEN"
"Greedy Best-First Search + GS",TRUE,"Solution",3,5.4,4,3,5,0.0027,"c(11, 12),GEN"
"A* Search",TRUE,"Solution",3,5.4,5,3,10,0.0018,"c(11, 12),GEN"
"A* Search + GS",TRUE,"Solution",3,5.4,5,3,6,0.0025,"c(11, 12),GEN"
