"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",TRUE,"Solution",1,2.7,3,1,3,0.0861,"c(10, 10),VectorDB_PRO"
"Breadth First Search + GS",TRUE,"Solution",1,2.7,3,1,2,0.0042,"c(10, 10),VectorDB_PRO"
"Depth First Search",FALSE,"Iterations",NA,NA,2500,2499,3749,0.6986,"?"
"Depth First Search + GS",TRUE,"Solution",17,20.4,19,17,4,0.004,"c(10, 10),GEN"
"Depth Limited Search - Limit=20",TRUE,"Solution",20,24,1487,20,29,0.1255,"c(10, 10),GEN"
"Depth Limited Search - Limit=20 + GS",TRUE,"Solution",17,20.4,19,17,4,0.0041,"c(10, 10),GEN"
"Iterative Deepening Search - Final Limit=2",TRUE,"Solution",1,2.7,4,1,2,0.0028,"c(10, 10),VectorDB_PRO"
"Iterative Deepening Search - Final Limit=2 + GS",TRUE,"Solution",1,2.7,4,1,2,0.0028,"c(10, 10),VectorDB_PRO"
"Uniform Cost Search",TRUE,"Solution",1,2.7,5,2,7,0.002,"c(10, 10),VectorDB_PRO"
"Uniform Cost Search + GS",TRUE,"Solution",1,2.7,4,2,3,0.002,"c(10, 10),VectorDB_PRO"
"Greedy Best-First Search",TRUE,"Solution",1,2.7,2,1,2,8e-04,"c(10, 10),VectorDB_PRO"
"Greedy Best-First Search + GS",TRUE,"Solution",1,2.7,2,1,2,7e-04,"c(10, 10),VectorDB_PRO"
"A* Search",TRUE,"Solution",1,2.7,2,1,2,8e-04,"c(10, 10),VectorDB_PRO"
"A* Search + GS",TRUE,"Solution",1,2.7,2,1,2,8e-04,"c(10, 10),VectorDB_PRO"
