"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",TRUE,"Solution",2,2.4,4,2,8,0.0022,"c(2, 2),GEN"
"Breadth First Search + GS",TRUE,"Solution",2,2.4,4,2,4,0.0023,"c(2, 2),GEN"
"Depth First Search",TRUE,"Solution",2,2.4,3,2,4,0.0018,"c(2, 2),GEN"
"Depth First Search + GS",TRUE,"Solution",2,2.4,3,2,2,0.0038,"c(2, 2),GEN"
"Depth Limited Search - Limit=20",TRUE,"Solution",2,2.4,3,2,4,0.0021,"c(2, 2),GEN"
"Depth Limited Search - Limit=20 + GS",TRUE,"Solution",2,2.4,3,2,2,0.0014,"c(2, 2),GEN"
"Iterative Deepening Search - Final Limit=3",TRUE,"Solution",2,2.4,7,2,4,0.0054,"c(2, 2),GEN"
"Iterative Deepening Search - Final Limit=3 + GS",TRUE,"Solution",2,2.4,7,2,2,0.0062,"c(2, 2),GEN"
"Uniform Cost Search",TRUE,"Solution",2,2.4,4,2,8,0.0014,"c(2, 2),GEN"
"Uniform Cost Search + GS",TRUE,"Solution",2,2.4,4,2,4,0.0036,"c(2, 2),GEN"
"Greedy Best-First Search",TRUE,"Solution",2,2.4,3,2,4,0.0014,"c(2, 2),GEN"
"Greedy Best-First Search + GS",TRUE,"Solution",2,2.4,3,2,2,0.0015,"c(2, 2),GEN"
"A* Search",TRUE,"Solution",2,2.4,3,2,4,0.0012,"c(2, 2),GEN"
"A* Search + GS",TRUE,"Solution",2,2.4,3,2,2,0.0013,"c(2, 2),GEN"
