"Name","Iterations","End_Reason","Initial_Eval","Final_Eval","Runtime","Initial_State","Final_State"
"Stochastic HC",13,"Local_Best",1888,80,0.7465,"5-4-1-2-1-3-1-5-4-4-2-5-3-2-3-5-1-3-2-4","4-4-4-4-1-1-1-1-2-2-2-2-5-5-5-5-3-3-3-3"
"Stochastic HC",16,"Local_Best",1840,80,0.8895,"5-4-1-2-1-3-1-5-4-4-2-5-3-2-3-5-1-3-2-4","4-4-4-4-3-3-3-3-2-2-2-2-1-1-1-1-5-5-5-5"
"Stochastic HC",16,"Local_Best",3060,80,0.8838,"5-4-1-2-1-3-1-5-4-4-2-5-3-2-3-5-1-3-2-4","3-3-3-3-4-4-4-4-5-5-5-5-2-2-2-2-1-1-1-1"
"Stochastic HC",20,"Local_Best",3040,80,1.0358,"5-4-1-2-1-3-1-5-4-4-2-5-3-2-3-5-1-3-2-4","5-5-5-5-3-3-3-3-4-4-4-4-1-1-1-1-2-2-2-2"
"Stochastic HC",13,"Local_Best",2050,80,0.7632,"5-4-1-2-1-3-1-5-4-4-2-5-3-2-3-5-1-3-2-4","3-3-3-3-2-2-2-2-5-5-5-5-1-1-1-1-4-4-4-4"
"Stochastic HC",21,"Local_Best",3060,80,1.0275,"5-4-1-2-1-3-1-5-4-4-2-5-3-2-3-5-1-3-2-4","3-3-3-3-5-5-5-5-4-4-4-4-2-2-2-2-1-1-1-1"
"Stochastic HC",12,"Local_Best",1848,80,0.6139,"5-4-1-2-1-3-1-5-4-4-2-5-3-2-3-5-1-3-2-4","5-5-5-5-3-3-3-3-1-1-1-1-4-4-4-4-2-2-2-2"
"Stochastic HC",13,"Local_Best",1812,80,0.7024,"5-4-1-2-1-3-1-5-4-4-2-5-3-2-3-5-1-3-2-4","1-1-1-1-3-3-3-3-4-4-4-4-2-2-2-2-5-5-5-5"
"Stochastic HC",17,"Local_Best",2676,80,0.9342,"5-4-1-2-1-3-1-5-4-4-2-5-3-2-3-5-1-3-2-4","4-4-4-4-2-2-2-2-3-3-3-3-5-5-5-5-1-1-1-1"
"Stochastic HC",15,"Local_Best",3060,80,0.7692,"5-4-1-2-1-3-1-5-4-4-2-5-3-2-3-5-1-3-2-4","5-5-5-5-1-1-1-1-2-2-2-2-4-4-4-4-3-3-3-3"
