"Name","Iterations","End_Reason","Initial_Eval","Final_Eval","Runtime","Initial_State","Final_State"
"Stochastic HC",17,"Local_Best",2875,765,1.0142,"5-5-3-3-3-3-5-4-1-1-4-2-2-4-2-5-4-1-2-1","2-2-1-1-2-2-1-1-4-4-5-5-4-4-3-3-5-5-3-3"
"Stochastic HC",20,"Local_Best",2077,677,1.0944,"5-5-3-3-3-3-5-4-1-1-4-2-2-4-2-5-4-1-2-1","4-4-4-4-5-5-1-1-5-5-1-1-3-3-2-2-3-3-2-2"
"Stochastic HC",13,"Local_Best",2797,797,0.6836,"5-5-3-3-3-3-5-4-1-1-4-2-2-4-2-5-4-1-2-1","4-4-3-3-4-4-3-3-1-1-2-2-1-1-2-2-5-5-5-5"
"Stochastic HC",14,"Local_Best",2151,797,0.7589,"5-5-3-3-3-3-5-4-1-1-4-2-2-4-2-5-4-1-2-1","1-1-5-5-1-1-5-5-2-2-4-4-2-2-4-4-3-3-3-3"
"Stochastic HC",15,"Local_Best",3011,677,0.736,"5-5-3-3-3-3-5-4-1-1-4-2-2-4-2-5-4-1-2-1","3-3-3-3-4-4-5-5-4-4-5-5-2-2-1-1-2-2-1-1"
"Stochastic HC",14,"Local_Best",2763,677,0.7863,"5-5-3-3-3-3-5-4-1-1-4-2-2-4-2-5-4-1-2-1","3-3-3-3-4-4-1-1-4-4-1-1-5-5-2-2-5-5-2-2"
"Stochastic HC",14,"Local_Best",2129,737,0.8339,"5-5-3-3-3-3-5-4-1-1-4-2-2-4-2-5-4-1-2-1","5-5-1-1-5-5-1-1-4-4-4-4-3-3-2-2-3-3-2-2"
"Stochastic HC",21,"Local_Best",2009,737,1.0614,"5-5-3-3-3-3-5-4-1-1-4-2-2-4-2-5-4-1-2-1","2-2-5-5-2-2-5-5-1-1-1-1-4-4-3-3-4-4-3-3"
"Stochastic HC",22,"Local_Best",3037,705,1.1232,"5-5-3-3-3-3-5-4-1-1-4-2-2-4-2-5-4-1-2-1","4-4-2-2-4-4-1-1-2-2-1-1-3-3-5-5-3-3-5-5"
"Stochastic HC",18,"Local_Best",2849,705,0.9367,"5-5-3-3-3-3-5-4-1-1-4-2-2-4-2-5-4-1-2-1","5-5-1-1-5-5-3-3-1-1-3-3-2-2-4-4-2-2-4-4"
