"Name","Iterations","End_Reason","Initial_Eval","Final_Eval","Runtime","Initial_State","Final_State"
"Random Restart HC (5)",11,"Local_Best",7760,720,1.8719,"6-5-2-1-6-3-1-3-1-2-3-5-4-3-6-4-4-2-4-6-5-2-5-1","4-3-4-3-4-3-4-3-6-2-6-2-6-2-6-2-1-5-1-5-1-5-1-5"
"Random Restart HC (5)",11,"Local_Best",7400,2560,1.8128,"6-5-2-1-6-3-1-3-1-2-3-5-4-3-6-4-4-2-4-6-5-2-5-1","4-1-4-1-1-1-4-5-4-5-5-5-2-2-3-2-3-2-3-6-3-6-6-6"
"Random Restart HC (5)",13,"Local_Best",7840,2560,2.2594,"6-5-2-1-6-3-1-3-1-2-3-5-4-3-6-4-4-2-4-6-5-2-5-1","4-4-4-4-3-1-3-1-3-1-3-1-5-6-5-6-5-6-5-6-2-2-2-2"
"Random Restart HC (5)",12,"Local_Best",7680,720,0.9912,"6-5-2-1-6-3-1-3-1-2-3-5-4-3-6-4-4-2-4-6-5-2-5-1","6-2-6-2-6-2-6-2-4-5-4-5-4-5-4-5-3-1-3-1-3-1-3-1"
"Random Restart HC (5)",11,"Local_Best",5400,2560,0.9099,"6-5-2-1-6-3-1-3-1-2-3-5-4-3-6-4-4-2-4-6-5-2-5-1","1-1-4-1-4-1-4-3-4-3-3-3-2-2-2-2-6-5-6-5-6-5-6-5"
"Random Restart HC (5)",12,"Local_Best",7960,2560,1,"6-5-2-1-6-3-1-3-1-2-3-5-4-3-6-4-4-2-4-6-5-2-5-1","5-5-6-5-6-5-6-2-6-2-2-2-3-3-3-3-4-1-4-1-4-1-4-1"
"Random Restart HC (5)",11,"Local_Best",7560,2560,1.8095,"6-5-2-1-6-3-1-3-1-2-3-5-4-3-6-4-4-2-4-6-5-2-5-1","5-5-5-5-6-4-6-4-4-4-6-3-6-3-2-3-2-3-2-1-2-1-1-1"
"Random Restart HC (5)",10,"Local_Best",7680,720,1.7345,"6-5-2-1-6-3-1-3-1-2-3-5-4-3-6-4-4-2-4-6-5-2-5-1","3-2-3-2-3-2-3-2-1-4-1-4-1-4-1-4-6-5-6-5-6-5-6-5"
"Random Restart HC (5)",9,"Local_Best",5400,720,1.3881,"6-5-2-1-6-3-1-3-1-2-3-5-4-3-6-4-4-2-4-6-5-2-5-1","6-4-6-4-6-4-6-4-1-3-1-3-1-3-1-3-5-2-5-2-5-2-5-2"
"Random Restart HC (5)",13,"Local_Best",7840,2560,2.0511,"6-5-2-1-6-3-1-3-1-2-3-5-4-3-6-4-4-2-4-6-5-2-5-1","4-4-3-4-3-4-3-5-3-5-6-5-6-5-6-1-6-1-1-1-2-2-2-2"
