"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",FALSE,"Iterations",NA,NA,2500,3,37501,1.6938,"?"
"Breadth First Search + GS",FALSE,"Frontier",NA,NA,1,0,0,0.0016,"?"
"Depth First Search",FALSE,"Iterations",NA,NA,2500,2499,37501,2.3681,"?"
"Depth First Search + GS",FALSE,"Frontier",NA,NA,1,0,0,8e-04,"?"
"Depth Limited Search - Limit=20",FALSE,"Iterations",NA,NA,2500,20,301,0.0828,"?"
"Depth Limited Search - Limit=20 + GS",FALSE,"Frontier",NA,NA,1,0,0,9e-04,"?"
"Iterative Deepening Search - Final Limit=3",FALSE,"Iterations",NA,NA,2500,3,46,0.06,"?"
"Iterative Deepening Search - Final Limit=1 + GS",FALSE,"Frontier",NA,NA,2,0,0,0.0015,"?"
"Uniform Cost Search",FALSE,"Iterations",NA,NA,2500,3,37501,43.2144,"?"
"Uniform Cost Search + GS",FALSE,"Frontier",NA,NA,1,0,0,6e-04,"?"
"Greedy Best-First Search",FALSE,"Iterations",NA,NA,2500,3,37501,36.8936,"?"
"Greedy Best-First Search + GS",FALSE,"Frontier",NA,NA,1,0,0,6e-04,"?"
"A* Search",FALSE,"Iterations",NA,NA,2500,3,37501,47.2237,"?"
"A* Search + GS",FALSE,"Frontier",NA,NA,1,0,0,0.0014,"?"
