"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",FALSE,"Iterations",NA,NA,2500,7,6076,0.9453,"?"
"Breadth First Search + GS",TRUE,"Solution",12,15.65,57,12,8,0.0245,"c(11, 12),GEN"
"Depth First Search",FALSE,"Iterations",NA,NA,2500,2499,5001,0.7681,"?"
"Depth First Search + GS",TRUE,"Solution",31,37.2,39,31,6,0.008,"c(11, 12),GEN"
"Depth Limited Search - Limit=20",FALSE,"Iterations",NA,NA,2500,20,49,0.1905,"?"
"Depth Limited Search - Limit=20 + GS",TRUE,"Solution",12,15.65,44,20,5,0.0156,"c(11, 12),GEN"
"Iterative Deepening Search - Final Limit=6",FALSE,"Iterations",NA,NA,2500,6,19,0.1926,"?"
"Iterative Deepening Search - Final Limit=13 + GS",TRUE,"Solution",12,15.65,327,12,5,0.1495,"c(11, 12),GEN"
"Uniform Cost Search",FALSE,"Iterations",NA,NA,2500,7,6196,11.1364,"?"
"Uniform Cost Search + GS",TRUE,"Solution",12,15.65,57,12,8,0.0252,"c(11, 12),GEN"
"Greedy Best-First Search",FALSE,"Iterations",NA,NA,2500,32,4251,7.0278,"?"
"Greedy Best-First Search + GS",TRUE,"Solution",31,37.2,46,31,9,0.0116,"c(11, 12),GEN"
"A* Search",TRUE,"Solution",12,15.65,267,12,594,0.1685,"c(11, 12),GEN"
"A* Search + GS",TRUE,"Solution",12,15.65,26,12,9,0.0073,"c(11, 12),GEN"
