"Name","Solution_Found","End_Reason","Actions","Cost","Expanded","Max_Depth","Max_Frontier","Runtime","Final_State"
"Breadth First Search",FALSE,"Iterations",NA,NA,2500,5,15514,1.5199,"?"
"Breadth First Search + GS",TRUE,"Solution",11,15,104,11,19,0.0374,"c(5, 12),GEN"
"Depth First Search",FALSE,"Iterations",NA,NA,2500,2499,8753,1.4716,"?"
"Depth First Search + GS",TRUE,"Solution",15,19.8,17,15,20,0.0067,"c(5, 12),GEN"
"Depth Limited Search - Limit=20",FALSE,"Iterations",NA,NA,2500,20,80,0.1282,"?"
"Depth Limited Search - Limit=20 + GS",TRUE,"Solution",15,19.8,17,15,20,0.0054,"c(5, 12),GEN"
"Iterative Deepening Search - Final Limit=5",FALSE,"Iterations",NA,NA,2500,5,25,0.1174,"?"
"Iterative Deepening Search - Final Limit=16 + GS",TRUE,"Solution",15,19.8,916,15,20,0.2561,"c(5, 12),GEN"
"Uniform Cost Search",FALSE,"Iterations",NA,NA,2500,5,15516,28.6506,"?"
"Uniform Cost Search + GS",TRUE,"Solution",12,14.4,104,12,18,0.0532,"c(5, 12),GEN"
"Greedy Best-First Search",TRUE,"Solution",16,19.2,197,16,793,0.1386,"c(5, 12),GEN"
"Greedy Best-First Search + GS",TRUE,"Solution",16,19.2,23,16,36,0.011,"c(5, 12),GEN"
"A* Search",FALSE,"Iterations",NA,NA,2500,6,13477,27.8905,"?"
"A* Search + GS",TRUE,"Solution",12,14.4,64,12,29,0.0272,"c(5, 12),GEN"
